Date,Hour,Minute,Volume
20170104,3,45,18002.90
20170104,4,0,18026.30
20170104,4,15,18366.20
20170104,4,30,18414.70
20170104,4,45,18308.80
20170104,5,0,18442.10
20170104,5,15,18250.50
20170104,5,30,18228.60
20170104,5,45,18376.20
20170104,6,0,18621.00
20170104,6,15,19494.50
20170104,6,30,20181.10
20170104,6,45,20728.70
20170104,7,0,21455.80
20170104,7,15,21968.30
20170104,7,30,22344.90
20170104,7,45,22279.80
20170104,8,0,22289.70
20170104,8,15,22733.30
20170104,8,30,22911.10
20170104,8,45,22939.20
20170104,9,0,23214.40
20170104,9,15,23258.60
20170104,9,30,23324.50
20170104,9,45,23383.50
20170104,10,0,23303.40
20170104,10,15,23098.60
20170104,10,30,23327.10
20170104,10,45,23522.50
20170104,11,0,23458.10
20170104,11,15,23300.30
20170104,11,30,23634.80
20170104,11,45,23543.80
20170104,12,0,23602.70
20170104,12,15,23604.10
20170104,12,30,23739.00
20170104,12,45,23777.70
20170104,13,0,23563.70
20170104,13,15,24001.60
20170104,13,30,24021.30
20170104,13,45,23668.90
20170104,14,0,23332.30
20170104,14,15,23480.50
20170104,14,30,23428.90
20170104,14,45,23558.20
20170104,15,0,23396.70
20170104,15,15,23212.00
20170104,15,30,23186.10
20170104,15,45,23537.10
20170104,16,0,23778.30
20170104,16,15,24264.70
20170104,16,30,24593.20
20170104,16,45,24588.50
20170104,17,0,24682.40
20170104,17,15,24558.80
20170104,17,30,24458.30
20170104,17,45,24379.10
20170104,18,0,24194.90
20170104,18,15,24059.10
20170104,18,30,24153.30
20170104,18,45,24039.90
20170104,19,0,24050.40
20170104,19,15,23919.60
20170104,19,30,24139.40
20170104,19,45,23894.30
20170104,20,0,23783.30
20170104,20,15,23666.40
20170104,20,30,23381.40
20170104,20,45,23331.20
20170104,21,0,22731.40
20170104,21,15,22481.20
20170104,21,30,21925.40
20170104,21,45,21376.30
20170104,22,0,20717.30
20170104,22,15,20462.10
20170104,22,30,20329.20
20170104,22,45,20074.10
20170104,23,0,19746.20
20170104,23,15,19277.20
20170104,23,30,18992.80
20170104,23,45,18818.20
